borough,complaint,date,crew,hours,lat,lon,reopened
Bronx,Parking,2024-04-24,4,6.7,40.8682,-73.8724,True
Queens,Street,2024-02-03,3,3.0,40.7188,-73.8214,True
Queens,Noise,2024-11-29,4,8.0,40.7483,-73.7738,False
Bronx,Street,2024-11-21,1,6.6,40.884,-73.8845,True
Brooklyn,Heat,2024-09-29,2,10.9,40.6588,-73.9908,False
Staten Is.,Street,2024-02-07,4,6.2,40.5883,-74.1745,False
Staten Is.,Noise,2024-07-22,1,43.1,40.5766,-74.1615,True
Manhattan,Parking,2024-05-23,1,27.0,40.7888,-73.9445,False
Staten Is.,Street,2024-09-06,3,2.5,40.5451,-74.1355,False
Brooklyn,Noise,2024-11-19,5,4.7,40.6606,-73.9601,False
Staten Is.,Street,2024-07-14,2,10.8,40.5846,-74.1494,True
Staten Is.,Street,2024-12-10,2,27.2,40.5526,-74.1435,False
Manhattan,Noise,2024-03-11,4,3.6,40.8429,-73.9088,True
Bronx,Noise,2024-11-25,2,8.3,40.8193,-73.8885,False
Brooklyn,Noise,2024-11-14,4,6.9,40.6224,-73.936,False
Manhattan,Water,2024-10-29,2,8.4,40.7868,-73.9482,False
Brooklyn,Noise,2024-12-13,1,8.2,40.5904,-73.9786,False
Bronx,Street,2024-03-26,5,2.2,40.8247,-73.8643,False
Bronx,Water,2024-03-11,3,7.4,40.8028,-73.8651,False
Staten Is.,Noise,2024-01-12,2,9.9,40.5495,-74.1641,False
Brooklyn,Street,2024-10-03,3,2.9,40.6444,-73.933,False
Manhattan,Heat,2024-06-13,4,4.2,40.788,-73.9391,False
Manhattan,Parking,2024-04-16,1,21.1,40.8115,-73.9361,False
Staten Is.,Street,2024-01-24,5,0.4,40.6025,-74.1558,False
Bronx,Heat,2024-04-06,3,1.5,40.8839,-73.8643,False
Brooklyn,Parking,2024-12-16,5,0.5,40.666,-73.8795,True
Manhattan,Noise,2024-01-26,4,0.9,40.7644,-74.0031,False
Staten Is.,Street,2024-01-03,1,23.3,40.6118,-74.1433,False
Manhattan,Noise,2024-04-01,5,4.4,40.7638,-73.9433,False
Queens,Noise,2024-04-28,3,1.0,40.7,-73.7855,False
Staten Is.,Heat,2024-03-13,5,6.4,40.6242,-74.1303,False
Queens,Street,2024-03-15,4,9.6,40.742,-73.7848,False
Staten Is.,Water,2024-07-17,2,10.1,40.5849,-74.1274,False
Staten Is.,Heat,2024-01-05,4,6.5,40.6009,-74.1115,True
Brooklyn,Noise,2024-12-24,2,13.1,40.6747,-73.9566,False
Manhattan,Street,2024-07-01,2,5.9,40.7375,-73.9641,True
Brooklyn,Street,2024-05-14,3,17.4,40.6455,-73.9517,False
Manhattan,Water,2024-01-28,2,4.5,40.743,-73.9821,True
Bronx,Heat,2024-03-12,5,2.8,40.852,-73.8706,False
Queens,Street,2024-11-24,1,1.2,40.6982,-73.8239,False
Brooklyn,Noise,2024-05-02,2,16.6,40.6891,-73.9277,True
Staten Is.,Water,2024-09-07,1,11.6,40.5939,-74.0989,False
Queens,Water,2024-02-29,4,14.3,40.694,-73.7389,False
Brooklyn,Noise,2024-05-15,3,18.0,40.6478,-73.9117,True
Manhattan,Parking,2024-04-29,1,1.6,40.742,-73.9989,False
Queens,Street,2024-11-03,1,17.1,40.7196,-73.7444,False
Manhattan,Heat,2024-05-25,4,4.8,40.7947,-73.9915,False
Brooklyn,Water,2024-10-17,2,6.9,40.6562,-73.9516,False
Bronx,Heat,2024-12-02,5,1.7,40.7905,-73.8146,False
Manhattan,Street,2024-04-29,2,7.4,40.7683,-74.0022,True
Manhattan,Noise,2024-03-18,3,6.7,40.7936,-73.9448,False
Queens,Noise,2024-11-05,1,18.5,40.7275,-73.7816,True
Bronx,Noise,2024-12-04,3,5.2,40.8831,-73.8746,False
Bronx,Heat,2024-12-05,1,25.6,40.8098,-73.8963,False
Queens,Heat,2024-02-18,2,7.9,40.734,-73.7773,False
Queens,Water,2024-08-14,5,9.6,40.6988,-73.8039,False
Queens,Street,2024-02-12,5,2.0,40.7242,-73.7586,False
Bronx,Street,2024-05-08,3,6.1,40.8605,-73.8333,False
Queens,Noise,2024-05-28,5,5.4,40.7389,-73.8314,False
Staten Is.,Parking,2024-11-24,2,14.5,40.561,-74.1652,False
Queens,Street,2024-09-24,3,16.3,40.7238,-73.7996,False
Manhattan,Parking,2024-12-10,4,3.1,40.7433,-74.0055,True
Manhattan,Heat,2024-10-31,5,7.4,40.736,-74.0035,False
Manhattan,Heat,2024-05-06,1,18.6,40.7949,-73.9673,False
Bronx,Heat,2024-11-11,3,1.0,40.8467,-73.8762,False
Queens,Street,2024-02-01,2,17.2,40.6697,-73.8396,False
Manhattan,Noise,2024-03-14,2,3.0,40.7528,-73.9861,False
Manhattan,Noise,2024-11-12,5,2.6,40.7788,-73.9544,False
Staten Is.,Water,2024-01-21,4,6.8,40.6249,-74.1862,False
Queens,Street,2024-08-30,5,2.4,40.7496,-73.8177,False
Staten Is.,Water,2024-11-21,1,8.9,40.6022,-74.1024,False
Bronx,Noise,2024-03-25,4,6.9,40.7947,-73.8305,False
Staten Is.,Noise,2024-09-11,5,7.6,40.5753,-74.1986,False
Manhattan,Noise,2024-07-25,1,11.7,40.7926,-74.0105,False
Manhattan,Noise,2024-09-13,5,2.9,40.7901,-73.9587,True
Manhattan,Water,2024-04-22,2,12.6,40.7907,-74.0057,False
Bronx,Noise,2024-02-12,3,6.7,40.8413,-73.8776,False
Staten Is.,Water,2024-12-01,1,15.6,40.631,-74.1635,False
Queens,Street,2024-02-07,5,12.0,40.7625,-73.7732,False
Bronx,Street,2024-05-04,2,7.5,40.8454,-73.9459,False
Staten Is.,Heat,2024-01-01,5,1.8,40.5489,-74.2161,False
Manhattan,Street,2024-03-12,1,14.0,40.8398,-74.0068,True
Bronx,Noise,2024-08-25,1,24.8,40.8317,-73.8396,False
Queens,Street,2024-01-16,1,10.6,40.7541,-73.7946,False
Bronx,Parking,2024-03-20,4,2.1,40.9055,-73.9212,False
Manhattan,Noise,2024-05-05,4,1.1,40.75,-73.9552,False
Queens,Heat,2024-05-01,2,34.0,40.727,-73.7688,False
Bronx,Street,2024-12-27,1,28.2,40.8378,-73.8774,False
Queens,Noise,2024-03-09,2,3.4,40.7337,-73.7999,False
Manhattan,Noise,2024-03-20,1,27.0,40.7879,-73.9569,False
Brooklyn,Street,2024-10-03,4,6.4,40.7066,-73.9137,False
Brooklyn,Street,2024-06-16,5,8.3,40.6659,-73.9454,False
Bronx,Heat,2024-06-30,3,2.8,40.848,-73.854,False
Bronx,Water,2024-12-20,2,20.8,40.882,-73.8714,False
Brooklyn,Noise,2024-03-16,3,11.0,40.6401,-73.9614,False
Staten Is.,Water,2024-01-03,2,3.4,40.5673,-74.1775,False
Manhattan,Street,2024-11-17,1,21.6,40.8454,-73.9623,False
Bronx,Heat,2024-04-17,1,22.3,40.8236,-73.879,False
Queens,Heat,2024-04-26,4,5.9,40.7036,-73.7973,False
Manhattan,Water,2024-10-26,4,0.5,40.7796,-73.9421,False
Staten Is.,Parking,2024-08-15,3,7.6,40.5465,-74.1354,False
Queens,Noise,2024-02-04,4,3.5,40.655,-73.7639,False
Staten Is.,Heat,2024-11-21,1,33.3,40.6099,-74.1973,False
Queens,Noise,2024-12-04,3,7.3,40.6947,-73.7732,False
Bronx,Noise,2024-01-04,4,3.0,40.832,-73.8877,False
Manhattan,Heat,2024-10-31,4,2.0,40.7671,-73.9942,False
Manhattan,Parking,2024-03-05,1,15.3,40.7488,-73.9956,False
Staten Is.,Street,2024-02-22,1,23.1,40.546,-74.1137,False
